Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Roald Stackhouse		D	1970-1971	1981-1982	889	87	372	459	41	824	24	3	9		"1,782"
Deis Widema	CGY	D	2005-2006	2014-2015	659	87	226	313	-69	425	49	2	13	0	"1,358"
Billy Taylor Sr.		C	1939-1940	1947-1948	323	87	180	267		120					
Daiel Daoust		C	1982-1983	1989-1990	522	87	167	254	-93	544	19	9	6	0	713
Darri Shao		L	1988-1989	1997-1998	506	87	163	250	-26	344	29	0	11	2	670
Mike Eastwood		C	1991-1992	2003-2004	783	87	149	236	-40	354	5	5	13	2	653
Do Grosso		L	1938-1939	1946-1947	336	87	117	204		90					
Joel Ward	WSH	R	2006-2007	2014-2015	465	87	115	202	23	157	21	6	14	0	754
Troy Loey		L	1983-1984	1994-1995	624	87	110	197	-44	"1,091"	11	0	11	1	805
Joh Kelly		R	1973-1974	1978-1979	425	87	109	196	-17	687	14	0	10		937
Mark Bell		C	2000-2001	2011-2012	450	87	95	182	-45	602	17	3	5	0	848
Ferado Pisai		R	2002-2003	2010-2011	462	87	82	169	5	200	15	4	7	1	698
Craig Camero		R	1966-1967	1975-1976	552	87	65	152	-93	196	8	1	9		
Guillaume Latedresse		L	2006-2007	2012-2013	341	87	60	147	-15	185	18	0	14	0	621
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Hib Milks		L	1925-1926	1932-1933	317	87	41	128		179					
Vladimir Malakhov		D	1992-1993	2005-2006	712	86	260	346	48	697	42	0	9	0	"1,550"
Mike Zuke		C	1978-1979	1985-1986	455	86	196	282	-40	220	21	3	6		754
Hap Day		D	1924-1925	1937-1938	581	86	116	202		601					
Sergei Krivokrasov		R	1992-1993	2001-2002	450	86	109	195	0	288	24	0	18	4	887
Maxime Talbot	COL	C	2005-2006	2014-2015	615	86	99	185	-21	468	1	16	12	0	795
Jaso Dawe		R	1993-1994	2001-2002	366	86	90	176	8	162	20	4	10	3	576
Pete Babado		L	1947-1948	1952-1953	351	86	73	159		194					
Gerry Couture		R	1944-1945	1953-1954	385	86	70	156		89					
Tomas Josso		D	1981-1982	1988-1989	552	85	259	344	66	482	23	3	12	0	927
Gordo Murphy		D	1988-1989	2001-2002	862	85	238	323	-83	668	41	0	8	4	"1,514"
Marti Hazal	ARI	C	2007-2008	2014-2015	480	85	150	235	-5	405	23	3	17	0	961
Doald Brashear		L	1993-1994	2009-2010	"1,025"	85	120	205	-93	"2,634"	4	0	13	1	"1,015"
Jimmy Coacher		C	1945-1946	1952-1953	328	85	117	202		91					
Joey Johsto		L	1968-1969	1975-1976	331	85	106	191	-120	320	23	3	5		696
Thomas Rowe		R	1976-1977	1982-1983	357	85	100	185	-80	615	12	1	9		755
Chad LaRose		R	2005-2006	2012-2013	508	85	95	180	-29	286	5	8	12	0	"1,022"
Sta Gilbertso		L	1971-1972	1976-1977	428	85	89	174	-168	148	21	0	6		722
Kevi Lowe		D	1979-1980	1997-1998	"1,254"	84	347	431	252	"1,498"	17	5	11	0	"1,266"
Joh Va Boxmeer		D	1973-1974	1983-1984	588	84	274	358	20	465	28	1	6		"1,407"
Joh Chabot		C	1983-1984	1990-1991	508	84	228	312	-39	85	9	10	9	0	610
Jocely Guevremot		D	1971-1972	1979-1980	571	84	223	307	22	319	33	1	8		"1,522"
Shau Va Alle		C	1990-1991	2003-2004	794	84	185	269	54	481	6	13	17	0	811
Rady Robitaille		C	1996-1997	2007-2008	531	84	172	256	-64	201	30	0	10	0	886
Dutch Reibel		C	1953-1954	1958-1959	409	84	161	245		75					
Rich Peverley	DAL	C	2006-2007	2013-2014	442	84	157	241	-7	167	18	6	20	0	865
Gregory Adams		L	1980-1981	1989-1990	545	84	143	227	1	"1,173"	11	0	5	0	696
Michal Grosek		L	1993-1994	2003-2004	526	84	137	221	51	509	14	0	11	3	755
Aleksey Morozov		R	1997-1998	2003-2004	451	84	135	219	-29	98	23	1	14	2	668
Jack Valiquette		C	1974-1975	1980-1981	350	84	134	218	-66	79	18	6	9		626
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Paul Gaustad	NSH	C	2002-2003	2014-2015	616	84	133	217	11	691	15	1	11	0	874
Tyler Bozak	TOR	C	2009-2010	2014-2015	327	84	126	210	-39	64	27	5	13	0	501
Trevor Letowski		R	1998-1999	2007-2008	616	84	117	201	-19	209	10	8	11	0	884
Murray Murdoch		L	1926-1927	1936-1937	508	84	108	192		197					
Michael Fidler		L	1976-1977	1982-1983	271	84	97	181	-51	124	18	0	9		598
Charley McVeigh		C	1926-1927	1934-1935	397	84	88	172		138					
Brado Sutter	PIT	C	2008-2009	2014-2015	445	84	82	166	3	84	13	8	13	0	833
David Joes	CGY	R	2007-2008	2014-2015	340	84	68	152	-28	100	16	3	16	0	614
Babe Pratt		D	1935-1936	1946-1947	517	83	209	292		463					
Michael Eaves		C	1978-1979	1985-1986	324	83	143	226	25	80	17	8	11		608
Bill Lidsay		L	1991-1992	2003-2004	777	83	141	224	-27	922	0	8	16	0	"1,129"
Vitali Yachmeev		R	1995-1996	2002-2003	487	83	133	216	-30	88	14	6	14	2	731
Michael Frolik	WPG	R	2008-2009	2014-2015	462	83	126	209	18	143	8	3	10	0	"1,107"
Tyler Keedy	SJS	R	2007-2008	2014-2015	452	83	107	190	26	221	10	0	18	0	"1,152"
Howie Meeker		R	1946-1947	1953-1954	346	83	102	185		329					
Earl Robiso		R	1928-1929	1939-1940	417	83	98	181		133					
Alexader Semak		C	1991-1992	1996-1997	289	83	91	174	22	187	13	3	12	2	561
Elmer Delorme		C	1976-1977	1984-1985	524	83	83	166	-120	667	10	0	9		471
Jiri Tlusty	CAR	L	2007-2008	2014-2015	372	83	72	155	-4	106	13	2	11	0	592
Sprague Cleghor		D	1918-1919	1927-1928	259	83	55	138		538					
Jack Adams		C	1917-1918	1926-1927	173	83	32	115		366					
Jimmy Herberts		C	1924-1925	1929-1930	206	83	31	114		253					
Marek Zidlicky	NJD	D	2003-2004	2014-2015	731	82	302	384	-64	628	56	0	15	0	"1,164"
Jaroslav Spacek		D	1998-1999	2011-2012	880	82	273	355	49	618	37	3	11	0	"1,335"
Todd Gill		D	1984-1985	2002-2003	"1,007"	82	272	354	-98	"1,214"	22	2	16	1	"1,310"
James McKey		D	1965-1966	1978-1979	604	82	247	329	-5	294	24	2	7		
Marc-Adre Bergero		D	2002-2003	2012-2013	490	82	153	235	-12	214	44	0	14	0	951
Ady Brickley		L	1982-1983	1993-1994	385	82	140	222	-21	81	25	5	11	2	484
George Alle		L	1938-1939	1946-1947	339	82	115	197		179					
Bob Gracie		C	1930-1931	1938-1939	379	82	109	191		205					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Blake Comeau	PIT	L	2006-2007	2014-2015	451	82	100	182	-46	249	8	3	9	0	812
Derrick Smith		L	1984-1985	1993-1994	537	82	92	174	-12	373	0	3	12	0	873
Vladimir Ruzicka		C	1989-1990	1993-1994	233	82	85	167	-57	129	37	0	9	4	541
Lore Ferguso		L	1949-1950	1958-1959	422	82	80	162		193					
Sea McKea		R	1981-1982	1989-1990	414	82	80	162	-48	181	4	2	6	0	610
Brad McCrimmo		D	1979-1980	1996-1997	"1,222"	81	322	403	444	"1,416"	15	8	15	0	"1,550"
Maurice Matha		D	1980-1981	1991-1992	656	81	289	370	-119	501	37	4	6	3	"1,542"
Oleg Kvasha		C	1998-1999	2005-2006	493	81	136	217	0	335	14	4	11	1	889
Artem Aisimov	CBJ	C	2008-2009	2014-2015	376	81	90	171	-3	122	12	3	13	0	700
Adreas Johasso		L	1995-1996	2003-2004	377	81	88	169	-8	190	25	2	8	1	656
Atti Laaksoe		L	1998-1999	2006-2007	483	81	87	168	-11	152	1	8	12	2	654
Pierre Pilote		D	1955-1956	1968-1969	890	80	418	498	-3	"1,251"	1	0	0		
Deria Hatcher		D	1991-1992	2007-2008	"1,045"	80	251	331	74	"1,581"	19	3	18	3	"1,431"
Joh-Michael Liles	CAR	D	2003-2004	2014-2015	684	80	249	329	-30	254	38	0	9	2	"1,209"
Bria Specer		L	1969-1970	1978-1979	553	80	143	223	-53	634	6	0	8		789
Larry Popei		C	1954-1955	1967-1968	449	80	141	221	-17	162	0	1	0		
Brya Erickso		C	1983-1984	1993-1994	351	80	125	205	3	141	21	2	13	0	561
Bates Battaglia		L	1997-1998	2007-2008	580	80	118	198	-34	385	11	2	12	5	752
Gle Sather		L	1966-1967	1975-1976	658	80	113	193	11	724	9	6	11		
Bill Hogaboam		C	1972-1973	1979-1980	332	80	109	189	-86	100	20	3	3		577
Lioel Coacher		D	1925-1926	1936-1937	498	80	105	185		882					
Deis Dupere		L	1970-1971	1977-1978	421	80	99	179	-30	66	22	5	6		587
Daiel Paille	BOS	L	2005-2006	2014-2015	530	80	85	165	24	131	0	10	7	0	672
Jocely Lemieux		R	1986-1987	1997-1998	598	80	84	164	-39	740	5	1	12	2	843
Joey Kocur		R	1984-1985	1998-1999	820	80	82	162	-97	"2,519"	8	0	14	0	785
Michel Bergero		R	1974-1975	1978-1979	229	80	58	138	-37	165	17	0	12		537
Bria Rafalski		D	1999-2000	2010-2011	833	79	436	515	178	282	39	1	16	2	"1,533"
Mark Streit	PHI	D	2005-2006	2014-2015	603	79	272	351	-46	304	41	2	11	0	"1,067"
Michael Ramsey		D	1979-1980	1996-1997	"1,070"	79	266	345	218	"1,012"	12	2	14	0	"1,402"
Teddy Purcell	EDM	R	2007-2008	2014-2015	433	79	163	242	-17	74	23	0	12	0	824
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Pierre-Alexadre Pareteau	MTL	R	2006-2007	2014-2015	323	79	139	218	-30	225	26	0	7	0	650
Gee Carr		C	1971-1972	1978-1979	465	79	136	215	10	365	9	2	12		733
Vero Fiddler	DAL	C	2002-2003	2014-2015	685	79	135	214	-7	438	7	8	12	0	912
Dave Schultz		L	1971-1972	1979-1980	535	79	121	200	40	"2,294"	4	0	11		643
Adre Lacroix		C	1967-1968	1979-1980	325	79	119	198	-29	44	30	0	11		702
Bill Eziicki		R	1944-1945	1954-1955	368	79	105	184		713					
Beoit Pouliot	EDM	L	2006-2007	2014-2015	391	79	89	168	42	267	15	0	20	0	621
Phillip Sykes		L	1982-1983	1991-1992	456	79	85	164	-61	519	5	9	8	1	512
Tyler Wright		C	1992-1993	2005-2006	613	79	70	149	-115	854	14	3	13	2	714
Rya O'Reilly	COL	C	2009-2010	2014-2015	375	78	129	207	-20	56	19	3	11	0	781
Serge Berier		C	1968-1969	1980-1981	302	78	119	197	-58	234	18	0	11		793
Derek Smith		C	1975-1976	1982-1983	335	78	116	194	26	60	23	0	5		560
Dave Bollad	FLA	C	2006-2007	2014-2015	363	78	104	182	35	241	16	6	10	0	525
Jere Gillis		L	1977-1978	1986-1987	386	78	95	173	-60	230	12	2	14		672
Ke Smith		L	1944-1945	1950-1951	331	78	93	171		49					
Petr Prucha		R	2005-2006	2010-2011	346	78	68	146	-4	133	31	0	8	0	560
Cal Clutterbuck	NYI	R	2007-2008	2014-2015	448	78	58	136	-31	411	9	10	11	0	943
Jay Bouwmeester	STL	D	2002-2003	2014-2015	869	77	270	347	-35	499	24	0	7	2	"1,546"
Brad Stuart	COL	D	1999-2000	2014-2015	999	77	245	322	10	555	29	2	21	1	"1,490"
Oleg Tverdovsky		D	1994-1995	2006-2007	713	77	240	317	-21	291	29	2	15	3	"1,170"
Pat Ega		D	1939-1940	1950-1951	554	77	153	230		776					
Robbie Ftorek		C	1972-1973	1984-1985	334	77	150	227	0	262	19	1	10		463
Terry Yake		C	1988-1989	2000-2001	403	77	120	197	-3	220	19	2	18	0	532
Tyler Eis	BUF	C	2009-2010	2014-2015	299	77	111	188	-35	133	18	1	3	0	708
Josef Vasicek		C	2000-2001	2007-2008	460	77	106	183	-38	311	14	2	11	0	712
Tom Cook		C	1929-1930	1937-1938	349	77	98	175		184					
Rodey Schutt		L	1977-1978	1985-1986	286	77	92	169	-31	177	17	0	12		651
Patrick Eaves	DAL	R	2005-2006	2014-2015	463	77	77	154	6	151	14	5	10	0	799
Steve Christoff		C	1979-1980	1983-1984	248	77	64	141	-19	108	13	0	7		470
Mickey Roach		C	1919-1920	1926-1927	211	77	34	111		54					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Mario Marois		D	1977-1978	1991-1992	955	76	357	433	10	"1,746"	19	1	3	0	"1,755"
James Macou		D	1982-1983	1998-1999	"1,128"	76	282	358	172	"1,210"	10	4	9	0	"1,635"
Brya Berard		D	1996-1997	2007-2008	619	76	247	323	-98	500	41	1	13	2	"1,372"
Boris Miroov		D	1993-1994	2003-2004	716	76	231	307	-57	891	39	3	10	6	"1,489"
Derek Stepa	NYR	C	2010-2011	2014-2015	311	76	137	213	61	74	16	1	15	0	679
Jay McClemet	CAR	C	2005-2006	2014-2015	712	76	133	209	-87	275	2	4	13	0	898
Eric Fehr	WSH	R	2005-2006	2014-2015	406	76	78	154	46	140	10	1	14	0	796
Barry Bjugstad		L	1983-1984	1991-1992	317	76	68	144	-37	144	18	2	13	1	555
Jordy Douglas		L	1979-1980	1984-1985	268	76	62	138	-69	160	14	0	12		490
Doug Lidster		D	1983-1984	1998-1999	897	75	268	343	-72	679	23	2	3	1	"1,382"
Val Foteye		L	1959-1960	1971-1972	820	75	154	229	-61	26	5	2	5		
Robert Miller		C	1977-1978	1984-1985	404	75	119	194	-20	220	4	3	10		642
Turer Steveso		R	1992-1993	2005-2006	644	75	115	190	-9	969	8	1	10	2	764
Dave Garder		C	1972-1973	1979-1980	350	75	115	190	-63	41	18	1	7		607
Jim Johso		C	1964-1965	1971-1972	302	75	111	186	-37	73	13	7	9		
Phil Roberto		R	1969-1970	1976-1977	385	75	106	181	-47	464	12	0	10		919
James Hislop		R	1979-1980	1983-1984	345	75	103	178	-24	86	6	4	6		452
Richard Dudley		L	1972-1973	1980-1981	309	75	99	174	44	292	6	0	11		579
Craig Johso		L	1994-1995	2003-2004	557	75	98	173	-33	260	18	1	8	1	773
Roald Ster		R	1987-1988	1999-2000	638	75	86	161	-44	"2,077"	2	3	9	1	763
Jeff Odgers		R	1991-1992	2002-2003	821	75	70	145	-116	"2,364"	15	0	7	2	716
Joe Beoit		R	1940-1941	1946-1947	185	75	69	144		94					
Jo Sim		L	1998-1999	2010-2011	469	75	64	139	-43	314	17	0	9	0	829
Bria Campbell	FLA	D	1999-2000	2014-2015	867	74	363	437	17	205	30	0	15	0	"1,205"
Eric Brewer	ANA	D	1998-1999	2014-2015	984	74	190	264	-89	774	19	0	12	1	"1,388"
Kip Miller		C	1990-1991	2003-2004	449	74	165	239	-32	105	17	0	15	2	580
Domiic Moore	NYR	C	2003-2004	2014-2015	632	74	139	213	-26	377	15	5	9	0	"1,049"
Michael Eagles		L	1982-1983	1999-2000	853	74	122	196	-121	928	3	6	7	1	761
David Moss	ARI	R	2006-2007	2014-2015	450	74	93	167	-12	137	20	1	11	0	911
Ady Blair		C	1928-1929	1936-1937	402	74	86	160		323					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Billy MacMilla		R	1970-1971	1976-1977	446	74	77	151	2	184	10	3	12		600
George Hay		L	1926-1927	1933-1934	239	74	60	134		84					
Pep Kelly		R	1934-1935	1941-1942	288	74	53	127		105					
Thomas Blado		D	1972-1973	1980-1981	610	73	197	270	133	392	28	1	9		"1,195"
William Garder		C	1980-1981	1988-1989	380	73	115	188	-6	68	13	8	7	0	458
Lore Heig		C	1972-1973	1980-1981	544	73	111	184	20	102	2	18	9		638
Marcel Goc	PIT	C	2003-2004	2014-2015	590	73	108	181	-20	151	9	2	9	0	943
Kyle Turris	OTT	C	2007-2008	2014-2015	346	73	108	181	10	153	14	2	13	0	768
Tim Taylor		C	1993-1994	2006-2007	746	73	94	167	-66	433	2	6	11	4	874
Al McDoough		R	1970-1971	1977-1978	237	73	88	161	3	73	15	0	11		707
Norma Ferguso		R	1968-1969	1971-1972	279	73	66	139	-50	72	15	0	10		526
James Smith		D	1984-1985	2000-2001	804	72	303	375	146	"2,139"	26	1	10	0	"1,126"
Leo Boivi		D	1951-1952	1969-1970	"1,150"	72	250	322	-42	"1,192"	7	0	2		
Derek Armstrog		C	1993-1994	2009-2010	477	72	149	221	-2	355	19	0	9	1	659
Bret Peterso		C	1978-1979	1988-1989	620	72	141	213	-8	484	6	6	9	1	633
Jeff Shatz		C	1993-1994	2002-2003	642	72	139	211	-1	341	11	8	9	0	728
Scott Pelleri		L	1992-1993	2003-2004	536	72	126	198	16	320	5	14	10	0	738
Shaw Bates		C	1997-1998	2007-2008	465	72	126	198	-28	266	3	13	11	2	702
Paul Woods		C	1977-1978	1983-1984	501	72	124	196	-60	276	5	8	9		605
Oleg Petrov		R	1992-1993	2002-2003	382	72	115	187	-18	101	11	3	13	4	727
Ket-Erik Adersso		R	1977-1978	1983-1984	456	72	103	175	-12	78	7	6	14		633
Ala Kerr		R	1984-1985	1992-1993	391	72	94	166	5	826	13	1	9	1	637
Maurice Lemay		L	1981-1982	1988-1989	317	72	94	166	-37	442	17	1	5	0	590
Ab DeMarco Sr.		C	1938-1939	1946-1947	209	72	93	165		53					
Gary Jarrett		L	1960-1961	1971-1972	341	72	92	164	-55	131	10	0	9		
Craig Patrick		R	1971-1972	1978-1979	401	72	91	163	-131	61	9	2	3		629
Marc Habscheid		C	1981-1982	1991-1992	345	72	91	163	-16	171	17	7	6	0	538
Robert Murdoch		R	1975-1976	1978-1979	260	72	85	157	-42	127	21	0	13		530
Warre Youg		C	1981-1982	1987-1988	236	72	77	149	-68	472	21	0	5	0	294
Sady McCarthy		R	1993-1994	2003-2004	736	72	76	148	-81	"1,534"	9	0	12	0	789
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Duca Keith	CHI	D	2005-2006	2014-2015	717	71	317	388	135	457	17	5	7	0	"1,491"
Christia Ehrhoff	PIT	D	2003-2004	2014-2015	722	71	252	323	66	469	29	1	23	0	"1,463"
Dave Maloey		D	1974-1975	1984-1985	657	71	246	317	89	"1,154"	18	4	7		936
Chris Phillips	OTT	D	1997-1998	2014-2015	"1,166"	71	216	287	67	754	17	3	13	0	"1,412"
Jim Dowd		C	1991-1992	2007-2008	728	71	168	239	-13	390	15	6	7	2	766
Josh Bailey	NYI	L	2008-2009	2014-2015	426	71	115	186	-30	139	14	4	8	0	598
Mike Stapleto		C	1986-1987	2000-2001	697	71	111	182	-103	342	19	5	9	1	904
Mac Colville		R	1935-1936	1946-1947	353	71	104	175		130					
Michael Craig		R	1990-1991	2001-2002	423	71	97	168	-98	550	18	0	10	0	776
James Baker		C	1989-1990	1998-1999	404	71	79	150	-50	271	16	8	8	1	586
Da Labraate		L	1978-1979	1981-1982	268	71	73	144	-34	47	15	0	8		406
Bob Crawford		R	1979-1980	1986-1987	246	71	71	142	-34	72	12	0	5		493
Frederick Pyatt		C	1973-1974	1979-1980	296	71	63	134	-136	69	8	0	5		490
Eric Weirich		D	1988-1989	2005-2006	"1,157"	70	318	388	56	825	24	3	13	4	"1,461"
Filip Kuba		D	1998-1999	2012-2013	836	70	263	333	-56	361	29	5	15	1	"1,199"
Erik Karlsso	OTT	D	2009-2010	2014-2015	345	70	187	257	-38	168	17	1	14	0	"1,011"
Kevi Todd		C	1988-1989	1997-1998	383	70	133	203	-17	225	9	2	13	1	574
Forbes Keedy		C	1956-1957	1968-1969	603	70	108	178	-22	988	1	1	3		
Richard Kromm		L	1983-1984	1992-1993	372	70	103	173	52	138	1	2	8	1	540
Mike Blaisdell		R	1980-1981	1988-1989	343	70	84	154	-25	166	5	0	7	0	641
Gary Lupul		C	1979-1980	1985-1986	293	70	75	145	-45	243	14	1	6		437
Joh Wesik		L	1973-1974	1982-1983	403	70	68	138	20	840	3	0	10		477
Bill Sutherlad		C	1962-1963	1971-1972	250	70	58	128	17	99	20	4	5		393
Jim Neilso		D	1962-1963	1977-1978	"1,023"	69	299	368	64	904	12	0	7		
Tom Poti		D	1998-1999	2012-2013	824	69	258	327	44	586	29	1	19	0	"1,261"
Bret Seabrook	CHI	D	2005-2006	2014-2015	713	69	236	305	115	497	24	2	13	0	"1,247"
Douglas Halward		D	1975-1976	1988-1989	653	69	224	293	-92	774	33	1	4	0	"1,161"
Uwe Krupp		D	1986-1987	2002-2003	729	69	212	281	97	660	23	2	7	3	"1,111"
Waye Primeau		C	1994-1995	2009-2010	774	69	125	194	-95	789	9	5	8	1	885
Vladimir Tsyplakov		L	1995-1996	2000-2001	331	69	101	170	42	90	4	2	7	0	497
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Aly McCauley		C	1997-1998	2006-2007	488	69	97	166	25	116	14	3	10	1	665
Bob Brooke		R	1983-1984	1989-1990	447	69	97	166	-40	520	8	8	7	0	732
Jaik Hase	VAN	R	2006-2007	2014-2015	419	69	95	164	32	178	1	4	13	0	639
Adam Hall		R	2001-2002	2013-2014	682	69	87	156	-76	282	28	2	10	1	978
Bill Lochead		L	1974-1975	1979-1980	330	69	62	131	-74	180	10	1	12		548
Jamie McGi	COL	L	2008-2009	2014-2015	366	69	59	128	-43	172	16	0	10	0	656
Gary Bergma		D	1964-1965	1975-1976	838	68	299	367	-58	"1,249"	13	4	8		
Keith Brow		D	1979-1980	1994-1995	876	68	274	342	64	916	16	3	5	0	"1,477"
Robert Svehla		D	1994-1995	2002-2003	655	68	267	335	-5	649	28	0	5	1	"1,105"
Jaso Woolley		D	1991-1992	2005-2006	718	68	246	314	65	430	26	0	15	3	"1,050"
Lou Nae		D	1967-1968	1977-1978	635	68	157	225	-106	356	18	1	10		886
Doc Romes		L	1930-1931	1939-1940	360	68	136	204		42					
Mathieu Dadeault		R	1995-1996	2008-2009	868	68	135	203	42	516	6	2	6	0	984
Samuel Pahlsso		C	2000-2001	2011-2012	798	68	131	199	-70	356	4	11	14	0	"1,023"
Aatoli Semeov		C	1989-1990	1996-1997	362	68	126	194	25	122	16	3	10	0	580
Kevi McClellad		R	1981-1982	1993-1994	588	68	112	180	-38	"1,672"	0	4	7	0	611
Larry Romachych		R	1970-1971	1976-1977	298	68	97	165	-37	102	19	0	8		542
Erik Christese		C	2005-2006	2011-2012	387	68	95	163	-24	162	20	0	4	0	688
Johy Sheppard		L	1926-1927	1933-1934	308	68	58	126		224					
Ke Radall		R	1917-1918	1926-1927	218	68	50	118		533					
Harold Darragh		L	1925-1926	1932-1933	308	68	49	117		50					
Waye Biachi		R	1973-1974	1979-1980	276	68	41	109	-41	137	9	1	10		433
Niklas Krowall	DET	D	2003-2004	2014-2015	626	67	246	313	45	410	29	0	11	0	942
Kim Johsso		D	1999-2000	2009-2010	739	67	217	284	27	406	31	0	7	1	"1,172"
Kevi McCarthy		D	1977-1978	1986-1987	537	67	191	258	-37	527	13	2	4		806
Jorda Leopold	CBJ	D	2002-2003	2014-2015	672	67	146	213	-33	285	23	1	8	0	916
Terry Crisp		C	1965-1966	1976-1977	536	67	134	201	38	135	4	13	10		
Murray Armstrog		C	1937-1938	1945-1946	270	67	121	188		72					
Boyd Devereaux		C	1997-1998	2008-2009	627	67	112	179	5	205	1	6	13	2	745
Sergei Kostitsy		L	2007-2008	2012-2013	353	67	109	176	23	188	14	3	8	0	414
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Tomas Kopecky	FLA	R	2005-2006	2014-2015	543	67	103	170	-41	293	11	3	9	0	879
Marcus Nilso		L	1998-1999	2007-2008	521	67	101	168	5	270	17	3	11	1	820
Murray Balfour		R	1956-1957	1964-1965	306	67	90	157		393					
James Harriso		C	1968-1969	1979-1980	324	67	86	153	-31	435	15	3	4		584
Eric Lacroix		L	1993-1994	2000-2001	472	67	70	137	-23	361	12	1	14	0	557
Billy Dea		L	1953-1954	1970-1971	397	67	54	121	-49	44	4	0	7		
Art Gage		R	1926-1927	1931-1932	228	67	33	100		257					
Adam Foote		D	1991-1992	2010-2011	"1,154"	66	242	308	99	"1,534"	19	6	10	2	"1,128"
Michal Rozsival	CHI	D	1999-2000	2014-2015	848	66	217	283	87	645	28	2	17	0	966
Joe Primeau		C	1927-1928	1935-1936	310	66	177	243		105					
James Kor		D	1979-1980	1989-1990	597	66	122	188	-132	"1,801"	11	4	8	1	604
Regiald Kerr		C	1977-1978	1983-1984	263	66	94	160	-18	169	10	3	9		454
Kris Kig		L	1987-1988	2000-2001	849	66	85	151	-52	"2,030"	0	2	9	1	777
Lidsay Carso		C	1981-1982	1987-1988	373	66	80	146	2	524	2	2	7	0	542
Leroy Goldsworthy		R	1928-1929	1938-1939	336	66	57	123		79					
Eric Nystrom	NSH	L	2005-2006	2014-2015	517	66	46	112	-63	374	1	3	11	0	608
Jack Darragh		R	1917-1918	1923-1924	121	66	46	112		113					
Rick Laz		D	1980-1981	1991-1992	569	65	221	286	-106	448	41	0	7	0	"1,291"
Jea-Fracois Sauve		C	1980-1981	1986-1987	290	65	138	203	3	114	36	0	3		402
Gregory Campbell	BOS	C	2003-2004	2014-2015	677	65	103	168	-26	591	2	7	7	0	830
Todd Warrier		L	1994-1995	2002-2003	453	65	89	154	-37	249	10	5	4	2	727
David Semeko		L	1979-1980	1987-1988	575	65	88	153	7	"1,175"	9	0	8	0	392
Do Galliger		C	1942-1943	1947-1948	222	65	88	153		89					
Lauri Korpikoski	ARI	L	2007-2008	2014-2015	430	65	83	148	-23	102	4	5	9	0	606
Maxim Lapierre	STL	C	2005-2006	2014-2015	565	65	70	135	-35	564	1	3	7	0	810
Darby Hedrickso		C	1993-1994	2003-2004	518	65	64	129	-109	370	6	5	4	3	668
Matt Pettiger		L	2000-2001	2009-2010	422	65	58	123	-55	210	13	8	10	0	633
Bill Touhey		L	1927-1928	1933-1934	280	65	40	105		107					
Keith Yadle	ARI	D	2006-2007	2014-2015	526	64	226	290	-9	352	23	0	9	0	"1,210"
Joe Cirella		D	1981-1982	1995-1996	828	64	211	275	-201	"1,446"	22	2	4	0	"1,082"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Igor Kravchuk		D	1991-1992	2002-2003	699	64	210	274	-57	251	28	2	8	1	"1,486"
Paul Mara		D	1998-1999	2010-2011	734	64	189	253	-110	776	21	0	3	1	"1,023"
Per-Olov Brasar		C	1977-1978	1981-1982	348	64	142	206	-11	33	13	2	5		692
Patrik Stefa		C	1999-2000	2006-2007	455	64	124	188	-36	158	9	4	9	1	605
Day O'Shea		C	1968-1969	1972-1973	369	64	115	179	-37	265	8	2	11		677
Steve Dowie	PIT	R	2007-2008	2014-2015	366	64	113	177	24	882	16	1	8	0	521
Patric Kjellberg		L	1992-1993	2002-2003	394	64	96	160	-50	84	22	1	9	0	561
Mike Leclerc		L	1996-1997	2005-2006	341	64	94	158	-43	288	16	0	14	2	634
Ray Alliso		R	1979-1980	1986-1987	238	64	93	157	51	223	9	0	5		454
Gabriel Ladeskog	COL	L	2011-2012	2014-2015	229	64	89	153	27	173	14	3	10	0	699
Yuri Khmylev		L	1992-1993	1996-1997	263	64	88	152	9	133	18	5	9	1	503
Gio Odjick		L	1990-1991	2001-2002	605	64	73	137	-21	"2,567"	6	0	13	1	753
